Index,Folder,Filename,Image Size,BBox,BBox_Face,Categorical_Labels,Continuous_Labels,Gender,Age
2155,mscoco/images,COCO_train2014_000000399875.jpg,"[640, 480]","[403, 68, 565, 431]","[67, 10, 95, 52]","['Anticipation', 'Excitement']","[6, 9, 9]",Male,Teenager
2156,framesdb/images,frame_8swt6rcc4f9xoimf.jpg,"[1081, 1132]","[160, 40, 556, 800]","[168, 22, 257, 142]","['Anger', 'Doubt/Confusion', 'Sadness']","[5, 6, 4]",Female,Adult
2157,emodb_small/images,02cgoah11bes1d6555.jpg,"[450, 600]","[122, 134, 450, 449]","[94, 6, 202, 108]","['Happiness', 'Peace']","[8, 5, 8]",Female,Adult
2158,mscoco/images,COCO_train2014_000000160890.jpg,"[640, 480]","[75, 84, 391, 442]","[43, 21, 172, 197]","['Excitement', 'Happiness']","[6, 7, 6]",Male,Adult
2159,framesdb/images,frame_0tpbihuidb9xcjkq.jpg,"[500, 537]","[328, 217, 481, 524]","[86, 19, 116, 55]",['Engagement'],"[4, 5, 7]",Male,Adult
2160,framesdb/images,frame_0tpbihuidb9xcjkq.jpg,"[500, 537]","[98, 221, 225, 521]","[61, 9, 88, 40]",['Doubt/Confusion'],"[6, 6, 6]",Female,Adult
2161,mscoco/images,COCO_val2014_000000498747.jpg,"[640, 480]","[132, 37, 604, 479]","[157, 54, 273, 207]","['Disconnection', 'Engagement']","[6, 5, 6]",Male,Adult
2162,mscoco/images,COCO_val2014_000000023579.jpg,"[640, 480]","[125, 92, 505, 472]","[160, 20, 225, 109]","['Affection', 'Esteem', 'Happiness', 'Sympathy']","[6, 4, 7]",Female,Adult
2163,mscoco/images,COCO_train2014_000000382100.jpg,"[640, 426]","[203, 89, 353, 403]","[85, 20, 121, 65]","['Confidence', 'Excitement']","[8, 8, 9]",Male,Kid
2164,mscoco/images,COCO_val2014_000000236865.jpg,"[640, 484]","[262, 116, 409, 454]","[83, 23, 117, 66]","['Anticipation', 'Engagement', 'Excitement', 'Pleasure']","[6, 6, 9]",Female,Kid
2165,framesdb/images,frame_hvkeqenbteoc6ljb.jpg,"[624, 351]","[478, 0, 623, 350]","[51, 11, 90, 62]",['Pain'],"[3, 8, 5]",Male,Adult
2166,framesdb/images,frame_hvkeqenbteoc6ljb.jpg,"[624, 351]","[344, 34, 495, 308]","[57, 20, 91, 65]",['Engagement'],"[5, 3, 3]",Female,Adult
2167,mscoco/images,COCO_train2014_000000096800.jpg,"[640, 426]","[80, 70, 306, 419]","[113, 39, 155, 97]","['Happiness', 'Peace']","[10, 3, 6]",Female,Adult
2168,mscoco/images,COCO_train2014_000000010727.jpg,"[623, 640]","[286, 12, 573, 581]","[122, 76, 200, 168]","['Anticipation', 'Confidence', 'Engagement']","[3, 3, 3]",Female,Adult
2169,mscoco/images,COCO_train2014_000000376882.jpg,"[640, 468]","[153, 49, 325, 459]","[64, 40, 107, 93]","['Disconnection', 'Engagement', 'Excitement']","[5, 4, 7]",Male,Adult
2170,mscoco/images,COCO_val2014_000000180487.jpg,"[640, 427]","[40, 80, 381, 385]","[82, 22, 154, 110]","['Confidence', 'Disconnection', 'Happiness', 'Peace', 'Pleasure']","[7, 6, 8]",Male,Adult
2171,mscoco/images,COCO_train2014_000000423796.jpg,"[640, 480]","[81, 29, 177, 330]","[28, 17, 58, 56]",['Yearning'],"[7, 7, 7]",Female,Adult
2172,mscoco/images,COCO_train2014_000000001375.jpg,"[640, 428]","[157, 144, 407, 423]","[144, 20, 179, 70]",['Engagement'],"[6, 10, 10]",Female,Adult
2173,mscoco/images,COCO_train2014_000000420402.jpg,"[478, 640]","[133, 138, 271, 423]","[70, 20, 110, 65]",['Happiness'],"[7, 5, 9]",Male,Adult
2174,mscoco/images,COCO_train2014_000000547080.jpg,"[640, 427]","[39, 63, 255, 421]","[160, 15, 196, 66]","['Anticipation', 'Engagement']","[6, 10, 7]",Female,Adult
2175,mscoco/images,COCO_train2014_000000286033.jpg,"[500, 375]","[7, 47, 125, 369]","[45, 17, 77, 63]",['Anticipation'],"[6, 7, 7]",Male,Adult
2176,mscoco/images,COCO_train2014_000000277491.jpg,"[640, 558]","[246, 84, 445, 441]","[60, 13, 95, 59]","['Disquietment', 'Engagement']","[6, 7, 6]",Male,Adult
2177,emodb_small/images,he0jwni3zb9rh0o3hy.jpg,"[2048, 1679]","[201, 106, 1445, 1679]","[483, 195, 809, 670]","['Doubt/Confusion', 'Surprise']","[4, 5, 5]",Female,Teenager
2178,mscoco/images,COCO_val2014_000000156889.jpg,"[640, 480]","[152, 106, 419, 479]","[82, 28, 167, 141]","['Excitement', 'Happiness']","[6, 4, 7]",Male,Adult
2179,mscoco/images,COCO_val2014_000000156889.jpg,"[640, 480]","[322, 100, 557, 325]","[29, 30, 104, 125]","['Engagement', 'Happiness']","[6, 4, 6]",Male,Adult
2180,mscoco/images,COCO_val2014_000000213829.jpg,"[640, 427]","[165, 109, 276, 406]","[37, 16, 64, 47]",['Confidence'],"[6, 5, 9]",Male,Adult
2181,mscoco/images,COCO_val2014_000000526021.jpg,"[640, 427]","[208, 114, 414, 355]","[131, 17, 162, 53]","['Engagement', 'Excitement']","[4, 10, 7]",Male,Adult
2182,mscoco/images,COCO_train2014_000000163281.jpg,"[640, 427]","[422, 20, 535, 328]","[36, 16, 64, 52]","['Disapproval', 'Engagement']","[8, 8, 8]",Male,Adult
2183,framesdb/images,frame_87v3t9w9diyephya.jpg,"[540, 720]","[334, 195, 490, 522]","[56, 17, 100, 74]","['Confidence', 'Engagement', 'Happiness']","[6, 5, 7]",Female,Adult
2184,mscoco/images,COCO_val2014_000000496379.jpg,"[640, 480]","[242, 19, 615, 372]","[107, 56, 186, 187]","['Affection', 'Anticipation', 'Happiness', 'Pleasure', 'Surprise']","[8, 5, 9]",Female,Kid
2185,mscoco/images,COCO_train2014_000000529311.jpg,"[640, 426]","[377, 71, 578, 420]","[83, 14, 112, 50]","['Confidence', 'Excitement', 'Happiness']","[8, 7, 7]",Male,Adult
2186,framesdb/images,frame_92xu023f264wt62w.jpg,"[1300, 867]","[775, 214, 971, 548]","[65, 43, 152, 160]",['Engagement'],"[7, 7, 6]",Female,Adult
2187,mscoco/images,COCO_train2014_000000112208.jpg,"[612, 612]","[9, 6, 597, 572]","[237, 39, 461, 325]","['Anticipation', 'Confidence', 'Engagement']","[7, 4, 6]",Male,Adult
2188,framesdb/images,frame_duhyn2qp4m3ceij8.jpg,"[960, 720]","[459, 88, 737, 481]","[28, 18, 83, 89]","['Anticipation', 'Engagement']","[8, 8, 7]",Female,Adult
2189,framesdb/images,frame_duhyn2qp4m3ceij8.jpg,"[960, 720]","[100, 230, 401, 670]","[250, 0, 301, 58]","['Happiness', 'Pleasure']","[6, 2, 9]",Female,Adult
2190,framesdb/images,frame_duhyn2qp4m3ceij8.jpg,"[960, 720]","[287, 186, 530, 521]","[63, 29, 117, 98]","['Affection', 'Engagement', 'Happiness']","[7, 5, 7]",Female,Teenager
2191,framesdb/images,frame_h99wfwzefsq0ggau.jpg,"[920, 680]","[399, 218, 546, 500]","[63, 18, 95, 67]",['Engagement'],"[6, 3, 4]",Male,Adult
2192,mscoco/images,COCO_train2014_000000050429.jpg,"[500, 375]","[179, 62, 406, 367]","[97, 12, 123, 48]","['Confidence', 'Engagement', 'Excitement']","[6, 9, 8]",Male,Teenager
2193,mscoco/images,COCO_train2014_000000155105.jpg,"[480, 640]","[29, 86, 316, 337]","[123, 66, 206, 175]","['Excitement', 'Happiness']","[6, 4, 6]",Female,Adult
2194,mscoco/images,COCO_train2014_000000282067.jpg,"[640, 480]","[253, 99, 538, 461]","[120, 62, 196, 165]","['Confidence', 'Engagement', 'Excitement', 'Happiness']","[6, 5, 6]",Female,Adult
2195,mscoco/images,COCO_train2014_000000045084.jpg,"[640, 573]","[60, 21, 206, 398]","[89, 14, 115, 54]","['Annoyance', 'Engagement']","[6, 7, 8]",Male,Adult
2196,mscoco/images,COCO_train2014_000000390395.jpg,"[640, 427]","[314, 127, 456, 338]","[47, 36, 76, 67]","['Anticipation', 'Engagement', 'Excitement']","[7, 5, 8]",Male,Adult
2197,mscoco/images,COCO_train2014_000000072986.jpg,"[640, 493]","[34, 70, 437, 486]","[263, 0, 323, 86]","['Anticipation', 'Excitement', 'Happiness']","[8, 6, 8]",Female,Kid
2198,mscoco/images,COCO_val2014_000000132587.jpg,"[640, 425]","[14, 16, 311, 404]","[163, 18, 203, 81]",['Disconnection'],"[5, 4, 7]",Male,Adult
2199,mscoco/images,COCO_train2014_000000569536.jpg,"[500, 375]","[177, 144, 328, 360]","[50, 15, 105, 90]","['Engagement', 'Excitement']","[7, 7, 7]",Female,Kid
2200,framesdb/images,frame_3jr9d9agdpsoslpx.jpg,"[740, 493]","[73, 53, 465, 478]","[173, 19, 252, 124]",['Engagement'],"[5, 4, 3]",Male,Adult
2201,mscoco/images,COCO_train2014_000000211272.jpg,"[500, 375]","[72, 52, 287, 374]","[111, 17, 175, 104]","['Happiness', 'Peace']","[4, 3, 4]",Female,Adult
2202,mscoco/images,COCO_train2014_000000466828.jpg,"[500, 500]","[251, 58, 410, 338]","[17, 15, 44, 46]","['Engagement', 'Peace']","[6, 6, 9]",Female,Adult
2203,mscoco/images,COCO_train2014_000000466828.jpg,"[500, 500]","[254, 50, 342, 382]","[15, 22, 42, 55]","['Disconnection', 'Fatigue']","[7, 6, 6]",Male,Adult
2204,mscoco/images,COCO_train2014_000000202807.jpg,"[500, 309]","[118, 74, 320, 273]","[43, 7, 71, 48]",['Excitement'],"[6, 3, 10]",Male,Adult
2205,mscoco/images,COCO_train2014_000000172176.jpg,"[640, 427]","[325, 61, 538, 394]","[73, 16, 107, 63]","['Disquietment', 'Engagement', 'Excitement']","[5, 4, 7]",Female,Adult
2206,mscoco/images,COCO_val2014_000000501439.jpg,"[640, 427]","[118, 27, 438, 420]","[161, 67, 249, 173]","['Disconnection', 'Engagement']","[5, 7, 7]",Male,Adult
2207,mscoco/images,COCO_train2014_000000386250.jpg,"[640, 480]","[195, 72, 330, 474]","[25, 17, 73, 72]",['Engagement'],"[6, 9, 8]",Male,Kid
2208,mscoco/images,COCO_train2014_000000100985.jpg,"[640, 426]","[215, 26, 563, 418]","[60, 37, 121, 129]","['Doubt/Confusion', 'Engagement']","[5, 4, 7]",Male,Adult
2209,mscoco/images,COCO_train2014_000000141554.jpg,"[640, 427]","[22, 103, 319, 418]","[211, 21, 263, 87]","['Excitement', 'Happiness']","[7, 8, 6]",Female,Adult
2210,framesdb/images,frame_j0s89681xd0y9c22.jpg,"[1200, 891]","[851, 30, 1084, 846]","[114, 28, 173, 114]",['Sadness'],"[4, 8, 8]",Male,Adult
2211,framesdb/images,frame_j0s89681xd0y9c22.jpg,"[1200, 891]","[442, 406, 782, 815]","[101, 54, 166, 140]",['Annoyance'],"[6, 5, 4]",Male,Adult
2212,framesdb/images,frame_0czsfbx6xnb6y87y.jpg,"[450, 320]","[213, 26, 396, 226]","[40, 21, 95, 96]","['Engagement', 'Pleasure']","[7, 8, 6]",Female,Teenager
2213,mscoco/images,COCO_val2014_000000079860.jpg,"[640, 480]","[104, 55, 367, 452]","[128, 19, 226, 150]","['Excitement', 'Happiness', 'Pleasure']","[9, 4, 9]",Male,Adult
2214,mscoco/images,COCO_train2014_000000208820.jpg,"[640, 480]","[98, 124, 214, 402]","[54, 15, 90, 59]",['Pleasure'],"[6, 7, 6]",Male,Adult
2215,mscoco/images,COCO_train2014_000000215460.jpg,"[640, 402]","[336, 7, 607, 324]","[164, 16, 201, 65]","['Happiness', 'Peace']","[8, 8, 3]",Male,Kid
2216,mscoco/images,COCO_val2014_000000539124.jpg,"[640, 639]","[231, 32, 387, 555]","[44, 18, 87, 75]",['Disconnection'],"[5, 6, 6]",Male,Teenager
2217,framesdb/images,frame_gkxdlftya4hkuc26.jpg,"[1200, 953]","[764, 1, 1199, 951]","[3, 3, 100, 119]",['Engagement'],"[4, 4, 2]",Male,Adult
2218,framesdb/images,frame_gkxdlftya4hkuc26.jpg,"[1200, 953]","[1, 1, 287, 882]","[9, 36, 116, 197]",['Engagement'],"[4, 5, 5]",Male,Adult
2219,framesdb/images,frame_kqeyo10ahh0h0z2c.jpg,"[634, 469]","[314, 2, 604, 468]","[101, 28, 180, 133]","['Confidence', 'Happiness', 'Sympathy']","[10, 5, 8]",Male,Adult
2220,framesdb/images,frame_kqeyo10ahh0h0z2c.jpg,"[634, 469]","[113, 84, 382, 456]","[73, 59, 138, 136]","['Anticipation', 'Engagement']","[8, 7, 8]",Female,Adult
2221,framesdb/images,frame_0xv2waxqdt9799lx.jpg,"[1300, 958]","[591, 47, 1259, 889]","[136, 123, 307, 330]",['Engagement'],"[5, 7, 8]",Male,Adult
2222,mscoco/images,COCO_val2014_000000470117.jpg,"[640, 457]","[134, 147, 295, 391]","[36, 15, 58, 43]","['Confidence', 'Excitement', 'Happiness']","[7, 8, 4]",Female,Teenager
2223,emodb_small/images,ekhtdcez1lztslt6z1.jpg,"[210, 236]","[3, 0, 210, 211]","[78, 43, 188, 180]",['Sadness'],"[1, 1, 1]",Male,Teenager
2224,mscoco/images,COCO_train2014_000000324591.jpg,"[640, 427]","[328, 44, 611, 420]","[67, 13, 100, 63]","['Confidence', 'Excitement']","[4, 5, 4]",Female,Teenager
2225,mscoco/images,COCO_train2014_000000232919.jpg,"[640, 522]","[249, 13, 629, 514]","[102, 12, 186, 124]",['Engagement'],"[6, 6, 8]",Male,Adult
2226,framesdb/images,frame_76uf0w84209ewwu1.jpg,"[500, 333]","[41, 6, 241, 332]","[106, 23, 155, 94]",['Engagement'],"[5, 4, 6]",Male,Adult
2227,emodb_small/images,bvnl5un1jcl9g3fi27.jpg,"[183, 275]","[1, 15, 131, 183]","[26, 18, 99, 118]","['Anger', 'Annoyance', 'Disconnection']","[3, 4, 5]",Female,Adult
2228,emodb_small/images,bvnl5un1jcl9g3fi27.jpg,"[183, 275]","[122, 14, 183, 182]","[14, 24, 56, 84]","['Anticipation', 'Disapproval', 'Engagement']","[6, 5, 5]",Male,Adult
2229,framesdb/images,frame_a230y9130m96ota3.jpg,"[450, 319]","[153, 75, 274, 295]","[61, 21, 90, 60]","['Affection', 'Happiness']","[7, 2, 6]",Female,Adult
2230,mscoco/images,COCO_train2014_000000412034.jpg,"[640, 480]","[158, 45, 320, 471]","[79, 34, 115, 76]","['Anticipation', 'Engagement']","[7, 8, 8]",Male,Adult
2231,framesdb/images,frame_0qtc189klvtsj4nw.jpg,"[812, 468]","[1, 20, 280, 467]","[115, 0, 219, 138]",['Engagement'],"[10, 10, 9]",Female,Adult
2232,framesdb/images,frame_61vo483r25sy7ayp.jpg,"[752, 960]","[252, 14, 540, 834]","[148, 53, 201, 141]",['Confidence'],"[6, 4, 5]",Female,Adult
2233,mscoco/images,COCO_train2014_000000144056.jpg,"[640, 426]","[46, 77, 214, 416]","[60, 21, 101, 75]","['Happiness', 'Sympathy']","[5, 8, 3]",Male,Kid
2234,mscoco/images,COCO_train2014_000000095753.jpg,"[632, 640]","[105, 49, 430, 449]","[168, 114, 261, 230]","['Confidence', 'Engagement', 'Happiness']","[6, 7, 8]",Female,Adult
2235,framesdb/images,frame_9ndtphvu1y3fcc1y.jpg,"[525, 700]","[67, 70, 431, 698]","[174, 86, 263, 192]",['Engagement'],"[4, 4, 9]",Female,Adult
2236,framesdb/images,frame_hn5iaoy2tj01dlo1.jpg,"[1300, 1065]","[815, 38, 1013, 548]","[45, 23, 102, 108]",['Disconnection'],"[8, 7, 7]",Female,Adult
2237,framesdb/images,frame_hn5iaoy2tj01dlo1.jpg,"[1300, 1065]","[569, 302, 732, 575]","[39, 30, 83, 91]",['Happiness'],"[10, 5, 7]",Female,Kid
2238,framesdb/images,frame_fyy9xthd7djzpa6i.jpg,"[4000, 3000]","[1704, 1056, 2248, 2695]","[198, 116, 352, 319]",['Engagement'],"[6, 3, 2]",Female,Adult
2239,emodb_small/images,c2pixaj33wvvaso97r.jpg,"[180, 280]","[92, 1, 180, 180]","[10, 0, 96, 179]","['Disconnection', 'Disquietment', 'Doubt/Confusion', 'Fatigue', 'Suffering']","[3, 4, 4]",Female,Adult
2240,mscoco/images,COCO_train2014_000000212672.jpg,"[612, 612]","[44, 320, 272, 586]","[76, 15, 138, 97]",['Happiness'],"[8, 4, 6]",Female,Adult
2241,mscoco/images,COCO_val2014_000000506723.jpg,"[640, 480]","[214, 31, 525, 477]","[116, 40, 173, 108]","['Affection', 'Engagement', 'Peace']","[5, 6, 7]",Female,Adult
2242,framesdb/images,frame_ax0vdmegowfn3uqv.jpg,"[1024, 683]","[16, 92, 239, 649]","[148, 31, 184, 83]",['Engagement'],"[6, 9, 8]",Male,Adult
2243,framesdb/images,frame_ax0vdmegowfn3uqv.jpg,"[1024, 683]","[415, 115, 627, 630]","[78, 33, 121, 95]","['Anticipation', 'Engagement']","[8, 4, 8]",Male,Adult
2244,mscoco/images,COCO_val2014_000000132644.jpg,"[640, 425]","[189, 9, 534, 419]","[132, 51, 198, 135]","['Engagement', 'Excitement']","[6, 7, 8]",Male,Adult
2245,emodb_small/images,1ggg1cxv951z7z3yjo.jpg,"[604, 453]","[52, 59, 439, 453]","[90, 49, 195, 184]",['Confidence'],"[6, 4, 7]",Male,Teenager
2246,framesdb/images,frame_4iobiurliv1azezs.jpg,"[1300, 956]","[973, 214, 1114, 454]","[46, 17, 88, 73]",['Engagement'],"[6, 5, 6]",Female,Adult
2247,framesdb/images,frame_4iobiurliv1azezs.jpg,"[1300, 956]","[327, 36, 896, 802]","[189, 52, 325, 252]","['Disconnection', 'Engagement', 'Fatigue']","[5, 5, 7]",Female,Adult
2248,framesdb/images,frame_4iobiurliv1azezs.jpg,"[1300, 956]","[589, 195, 965, 628]","[290, 67, 345, 144]",['Engagement'],"[3, 3, 2]",Female,Adult
2249,framesdb/images,frame_1j723l69hmc1mjqa.jpg,"[661, 517]","[13, 27, 133, 228]","[45, 17, 67, 45]",['Engagement'],"[6, 8, 8]",Female,Teenager
2250,mscoco/images,COCO_val2014_000000554582.jpg,"[640, 403]","[389, 132, 526, 402]","[51, 18, 82, 55]","['Affection', 'Engagement', 'Happiness', 'Pleasure']","[7, 6, 7]",Male,Adult
2251,mscoco/images,COCO_val2014_000000554582.jpg,"[640, 403]","[262, 127, 394, 395]","[58, 11, 87, 46]","['Anticipation', 'Confidence', 'Engagement']","[7, 2, 9]",Male,Adult
2252,mscoco/images,COCO_val2014_000000554582.jpg,"[640, 403]","[95, 121, 230, 397]","[58, 22, 90, 62]",['Peace'],"[6, 3, 9]",Male,Adult
2253,framesdb/images,frame_15muez585x24ijka.jpg,"[450, 346]","[274, 61, 394, 312]","[71, 108, 97, 138]","['Anticipation', 'Happiness']","[7, 8, 8]",Male,Adult
2254,framesdb/images,frame_15muez585x24ijka.jpg,"[450, 346]","[180, 139, 301, 340]","[56, 10, 82, 46]",['Engagement'],"[7, 2, 7]",Male,Adult
2255,framesdb/images,frame_60pcqscqal0slp6r.jpg,"[1024, 682]","[602, 320, 708, 525]","[45, 15, 64, 38]",['Engagement'],"[5, 7, 5]",Male,Adult
2256,mscoco/images,COCO_train2014_000000518265.jpg,"[640, 427]","[218, 141, 341, 407]","[46, 18, 72, 50]","['Engagement', 'Excitement', 'Happiness']","[6, 5, 4]",Male,Adult
2257,mscoco/images,COCO_train2014_000000518265.jpg,"[640, 427]","[354, 115, 507, 402]","[44, 8, 69, 37]","['Anticipation', 'Disconnection', 'Happiness']","[8, 7, 8]",Female,Adult
2258,mscoco/images,COCO_train2014_000000151699.jpg,"[640, 443]","[264, 58, 468, 340]","[124, 21, 163, 75]","['Anticipation', 'Confidence']","[7, 4, 6]",Male,Adult
2259,mscoco/images,COCO_train2014_000000151699.jpg,"[640, 443]","[439, 73, 596, 359]","[62, 17, 91, 59]",['Anticipation'],"[7, 5, 7]",Male,Teenager
2260,mscoco/images,COCO_train2014_000000151699.jpg,"[640, 443]","[28, 59, 347, 438]","[79, 21, 112, 77]","['Anticipation', 'Engagement']","[4, 8, 8]",Female,Adult
2261,framesdb/images,frame_k5xl5kmxdlntul5m.jpg,"[3648, 2736]","[1296, 958, 1797, 2463]","[239, 243, 336, 372]","['Confidence', 'Excitement', 'Happiness']","[6, 2, 3]",Male,Adult
2262,framesdb/images,frame_8851hj3hg9f91f2g.jpg,"[640, 448]","[46, 193, 239, 432]","[86, 11, 126, 64]","['Anticipation', 'Disquietment', 'Doubt/Confusion']","[5, 4, 6]",Female,Adult
2263,framesdb/images,frame_8851hj3hg9f91f2g.jpg,"[640, 448]","[344, 13, 548, 447]","[36, 28, 82, 89]","['Engagement', 'Happiness']","[7, 4, 6]",Female,Adult
2264,framesdb/images,frame_8851hj3hg9f91f2g.jpg,"[640, 448]","[562, 209, 635, 282]","[22, 16, 54, 55]",['Disconnection'],"[5, 5, 4]",Male,Adult
2265,mscoco/images,COCO_val2014_000000090572.jpg,"[500, 375]","[267, 52, 405, 371]","[27, 12, 60, 58]","['Happiness', 'Pleasure', 'Sympathy']","[6, 6, 6]",Female,Kid
2266,mscoco/images,COCO_val2014_000000565227.jpg,"[640, 427]","[98, 28, 287, 292]","[72, 35, 117, 113]","['Disconnection', 'Engagement', 'Peace']","[5, 5, 6]",Male,Adult
2267,mscoco/images,COCO_train2014_000000322212.jpg,"[500, 375]","[91, 27, 411, 374]","[148, 29, 223, 129]","['Happiness', 'Pleasure']","[6, 7, 8]",Male,Teenager
2268,mscoco/images,COCO_train2014_000000066669.jpg,"[500, 375]","[120, 33, 342, 368]","[136, 52, 207, 139]","['Affection', 'Peace']","[6, 4, 7]",Male,Kid
2269,mscoco/images,COCO_train2014_000000374374.jpg,"[640, 428]","[218, 52, 429, 361]","[78, 17, 124, 75]","['Anticipation', 'Esteem', 'Peace']","[6, 3, 8]",Female,Adult
2270,mscoco/images,COCO_train2014_000000398733.jpg,"[640, 427]","[99, 14, 567, 417]","[92, 59, 248, 249]","['Engagement', 'Excitement', 'Happiness']","[7, 5, 7]",Female,Adult
2271,mscoco/images,COCO_train2014_000000114326.jpg,"[640, 480]","[32, 45, 342, 446]","[64, 47, 157, 169]",['Disapproval'],"[7, 9, 9]",Male,Adult
2272,mscoco/images,COCO_train2014_000000428925.jpg,"[640, 427]","[154, 19, 486, 426]","[132, 22, 204, 128]",['Yearning'],"[6, 6, 6]",Female,Adult
2273,framesdb/images,frame_1w1fc6dc1yeuz8c4.jpg,"[550, 653]","[151, 143, 351, 495]","[64, 13, 98, 56]","['Anticipation', 'Engagement', 'Happiness']","[6, 7, 7]",Male,Adult
2274,framesdb/images,frame_1w1fc6dc1yeuz8c4.jpg,"[550, 653]","[7, 134, 112, 545]","[29, 31, 68, 73]",['Engagement'],"[5, 7, 7]",Male,Adult
2275,mscoco/images,COCO_train2014_000000131825.jpg,"[500, 333]","[205, 73, 417, 332]","[86, 20, 122, 68]",['Engagement'],"[6, 7, 6]",Male,Adult
2276,mscoco/images,COCO_train2014_000000408204.jpg,"[640, 383]","[343, 37, 444, 267]","[13, 13, 49, 58]","['Anticipation', 'Engagement', 'Esteem']","[6, 5, 7]",Female,Adult
2277,framesdb/images,frame_kmkvhzh54lmajdz5.jpg,"[700, 435]","[320, 27, 691, 434]","[57, 38, 124, 135]","['Anticipation', 'Confidence', 'Engagement']","[8, 7, 8]",Male,Adult
2278,framesdb/images,frame_kmkvhzh54lmajdz5.jpg,"[700, 435]","[1, 28, 211, 405]","[49, 45, 112, 160]","['Anticipation', 'Engagement']","[8, 2, 9]",Male,Adult
2279,mscoco/images,COCO_train2014_000000430853.jpg,"[640, 427]","[198, 73, 478, 420]","[24, 29, 93, 126]",['Engagement'],"[6, 7, 9]",Male,Adult
2280,mscoco/images,COCO_train2014_000000378154.jpg,"[640, 426]","[125, 49, 340, 287]","[43, 16, 81, 61]","['Excitement', 'Happiness', 'Peace']","[8, 6, 7]",Female,Adult
2281,mscoco/images,COCO_val2014_000000520264.jpg,"[640, 480]","[331, 168, 557, 479]","[88, 21, 129, 66]","['Excitement', 'Happiness', 'Pleasure', 'Sympathy']","[8, 5, 6]",Male,Adult
2282,framesdb/images,frame_gpuiv5j87axaz21k.jpg,"[635, 411]","[27, 26, 553, 365]","[172, 26, 253, 129]","['Confidence', 'Pain']","[4, 7, 8]",Male,Adult
2283,framesdb/images,frame_f2pgf6gjd7idq331.jpg,"[300, 470]","[168, 6, 297, 433]","[19, 31, 49, 74]",['Engagement'],"[8, 6, 6]",Male,Adult
2284,framesdb/images,frame_f2pgf6gjd7idq331.jpg,"[300, 470]","[19, 55, 121, 432]","[42, 15, 74, 58]","['Engagement', 'Excitement', 'Happiness']","[7, 5, 6]",Male,Adult
2285,mscoco/images,COCO_val2014_000000093175.jpg,"[500, 338]","[164, 28, 411, 324]","[139, 41, 195, 119]",['Engagement'],"[7, 6, 7]",Male,Kid
2286,mscoco/images,COCO_val2014_000000082157.jpg,"[640, 640]","[17, 73, 622, 631]","[206, 46, 400, 312]","['Happiness', 'Peace', 'Pleasure']","[7, 6, 6]",Male,Adult
2287,emodb_small/images,eobkaompjnu5h5hxxy.jpg,"[259, 250]","[1, 4, 237, 250]","[72, 20, 147, 120]","['Engagement', 'Pain', 'Sadness', 'Sympathy']","[1, 6, 1]",Female,Adult
2288,mscoco/images,COCO_train2014_000000369966.jpg,"[640, 509]","[407, 157, 507, 470]","[17, 11, 43, 46]",['Excitement'],"[7, 4, 7]",Male,Adult
2289,framesdb/images,frame_6scunvo8jjis7v5j.jpg,"[725, 483]","[60, 3, 471, 458]","[202, 11, 288, 130]","['Confidence', 'Engagement', 'Happiness']","[7, 6, 5]",Female,Adult
2290,framesdb/images,frame_6scunvo8jjis7v5j.jpg,"[725, 483]","[324, 1, 659, 435]","[136, 59, 245, 162]","['Confidence', 'Engagement']","[7, 3, 7]",Male,Adult
2291,mscoco/images,COCO_train2014_000000441412.jpg,"[640, 425]","[277, 104, 383, 389]","[40, 19, 72, 61]",['Engagement'],"[4, 4, 7]",Female,Adult
2292,mscoco/images,COCO_train2014_000000168763.jpg,"[640, 570]","[411, 283, 527, 558]","[39, 20, 73, 65]","['Disquietment', 'Fatigue']","[6, 5, 6]",Male,Adult
2293,emodb_small/images,8ze4iuoys263mhil2v.jpg,"[866, 1300]","[154, 124, 866, 865]","[491, 70, 633, 209]","['Sadness', 'Sensitivity', 'Suffering']","[4, 4, 2]",Male,Teenager
2294,mscoco/images,COCO_val2014_000000575719.jpg,"[640, 480]","[125, 101, 455, 471]","[141, 27, 221, 132]","['Engagement', 'Excitement', 'Happiness']","[7, 7, 9]",Female,Teenager
2295,mscoco/images,COCO_train2014_000000108301.jpg,"[640, 480]","[71, 90, 455, 458]","[91, 22, 162, 114]",['Happiness'],"[7, 4, 6]",Female,Adult
2296,mscoco/images,COCO_train2014_000000149233.jpg,"[640, 426]","[83, 90, 234, 418]","[47, 21, 103, 89]","['Anticipation', 'Engagement']","[4, 10, 4]",Male,Adult
2297,mscoco/images,COCO_train2014_000000301109.jpg,"[640, 388]","[281, 43, 594, 383]","[150, 30, 200, 97]","['Engagement', 'Excitement', 'Happiness']","[7, 4, 7]",Male,Adult
2298,mscoco/images,COCO_train2014_000000301109.jpg,"[640, 388]","[61, 93, 328, 383]","[19, 118, 55, 164]","['Engagement', 'Excitement', 'Happiness']","[7, 5, 7]",Female,Adult
2299,framesdb/images,frame_hmk0tuw32c3brxq9.jpg,"[2800, 1867]","[1224, 431, 1870, 1637]","[321, 157, 461, 310]","['Excitement', 'Happiness']","[5, 4, 9]",Female,Kid
2300,mscoco/images,COCO_train2014_000000538517.jpg,"[640, 469]","[168, 40, 361, 457]","[48, 30, 86, 75]",['Engagement'],"[5, 4, 6]",Female,Adult
